code,audio Url
LS,https://xeno-canto.org/578445/download
LS,https://xeno-canto.org/577837/download
LS,https://xeno-canto.org/567573/download
LS,https://xeno-canto.org/558824/download
LS,https://xeno-canto.org/557265/download
LS,https://xeno-canto.org/557263/download
LS,https://xeno-canto.org/553434/download
LS,https://xeno-canto.org/553433/download
LS,https://xeno-canto.org/428946/download
LS,https://xeno-canto.org/412919/download
LS,https://xeno-canto.org/406727/download
LS,https://xeno-canto.org/371104/download
LS,https://xeno-canto.org/234368/download
LS,https://xeno-canto.org/206981/download
LS,https://xeno-canto.org/201893/download
LS,https://xeno-canto.org/78691/download
LS,https://xeno-canto.org/78687/download
LS,https://xeno-canto.org/34180/download
LS,https://xeno-canto.org/34177/download
LS,https://xeno-canto.org/609759/download
LS,https://xeno-canto.org/455008/download
LS,https://xeno-canto.org/238549/download
LS,https://xeno-canto.org/147284/download
LS,https://xeno-canto.org/89998/download
LS,https://xeno-canto.org/80715/download
LS,https://xeno-canto.org/78692/download
LS,https://xeno-canto.org/34178/download
LS,https://xeno-canto.org/547115/download
LS,https://xeno-canto.org/424702/download
LS,https://xeno-canto.org/286517/download
LS,https://xeno-canto.org/143756/download
BG,https://xeno-canto.org/488180/download
BG,https://xeno-canto.org/665843/download
BG,https://xeno-canto.org/665842/download
BG,https://xeno-canto.org/646770/download
BG,https://xeno-canto.org/646769/download
BG,https://xeno-canto.org/412923/download
BG,https://xeno-canto.org/379898/download
BG,https://xeno-canto.org/187707/download
BG,https://xeno-canto.org/187705/download
BG,https://xeno-canto.org/83867/download
BG,https://xeno-canto.org/55207/download
BG,https://xeno-canto.org/34263/download
BG,https://xeno-canto.org/34261/download
BG,https://xeno-canto.org/34260/download
BG,https://xeno-canto.org/34156/download
BG,https://xeno-canto.org/34155/download
BG,https://xeno-canto.org/621197/download
BG,https://xeno-canto.org/468678/download
BG,https://xeno-canto.org/34262/download
BG,https://xeno-canto.org/422039/download
PAL,https://xeno-canto.org/633109/download
PAL,https://xeno-canto.org/631357/download
PAL,https://xeno-canto.org/572670/download
PAL,https://xeno-canto.org/567581/download
PAL,https://xeno-canto.org/455131/download
PAL,https://xeno-canto.org/428947/download
PAL,https://xeno-canto.org/406654/download
PAL,https://xeno-canto.org/234370/download
PAL,https://xeno-canto.org/206977/download
PAL,https://xeno-canto.org/187704/download
PAL,https://xeno-canto.org/34148/download
PAL,https://xeno-canto.org/633113/download
PAL,https://xeno-canto.org/577865/download
PAL,https://xeno-canto.org/476477/download
PAL,https://xeno-canto.org/206974/download
PAL,https://xeno-canto.org/55214/download
PAL,https://xeno-canto.org/34146/download
PAL,https://xeno-canto.org/34145/download
FH,https://xeno-canto.org/645647/download
FH,https://xeno-canto.org/645646/download
FH,https://xeno-canto.org/637284/download
FH,https://xeno-canto.org/637225/download
FH,https://xeno-canto.org/637224/download
FH,https://xeno-canto.org/577867/download
FH,https://xeno-canto.org/428943/download
FH,https://xeno-canto.org/428942/download
FH,https://xeno-canto.org/89997/download
FH,https://xeno-canto.org/34154/download
FH,https://xeno-canto.org/646578/download
FH,https://xeno-canto.org/577868/download
FH,https://xeno-canto.org/577866/download
FH,https://xeno-canto.org/455006/download
FH,https://xeno-canto.org/455005/download
FH,https://xeno-canto.org/312906/download
FH,https://xeno-canto.org/34153/download
FH,https://xeno-canto.org/637191/download
FH,https://xeno-canto.org/34152/download
FH,https://xeno-canto.org/625562/download
NV,https://xeno-canto.org/646822/download
NV,https://xeno-canto.org/645240/download
NV,https://xeno-canto.org/616388/download
NV,https://xeno-canto.org/553495/download
NV,https://xeno-canto.org/188429/download
NV,https://xeno-canto.org/188428/download
NV,https://xeno-canto.org/685367/download
NV,https://xeno-canto.org/577864/download
NV,https://xeno-canto.org/577863/download
NV,https://xeno-canto.org/547081/download
NV,https://xeno-canto.org/55211/download
NV,https://xeno-canto.org/34160/download
NV,https://xeno-canto.org/646823/download
PS,https://xeno-canto.org/553436/download
PS,https://xeno-canto.org/445637/download
PM,https://xeno-canto.org/674268/download
PM,https://xeno-canto.org/42622/download
PM,https://xeno-canto.org/631347/download
PM,https://xeno-canto.org/625563/download
PM,https://xeno-canto.org/625542/download
PM,https://xeno-canto.org/553442/download
PM,https://xeno-canto.org/553432/download
PM,https://xeno-canto.org/625564/download
PM,https://xeno-canto.org/622508/download
PM,https://xeno-canto.org/464414/download
PM,https://xeno-canto.org/305507/download
AC,https://xeno-canto.org/558401/download
AC,https://xeno-canto.org/65432/download
AC,https://xeno-canto.org/34223/download
AC,https://xeno-canto.org/563959/download
AC,https://xeno-canto.org/445096/download
AC,https://xeno-canto.org/132167/download
AC,https://xeno-canto.org/34224/download
AC,https://xeno-canto.org/34220/download
SE,https://xeno-canto.org/637190/download
SE,https://xeno-canto.org/625899/download
SE,https://xeno-canto.org/535680/download
SE,https://xeno-canto.org/286499/download
SE,https://xeno-canto.org/286493/download
SE,https://xeno-canto.org/476646/download
SE,https://xeno-canto.org/59406/download
PA,https://xeno-canto.org/625614/download
PA,https://xeno-canto.org/234192/download
PA,https://xeno-canto.org/622041/download
PA,https://xeno-canto.org/562980/download
PA,https://xeno-canto.org/558821/download
PA,https://xeno-canto.org/278272/download
PA,https://xeno-canto.org/661745/download
PA,https://xeno-canto.org/562981/download
PA,https://xeno-canto.org/558833/download
PA,https://xeno-canto.org/558831/download
